order	question	choice1	choice2	correct	feedback	url
1	Molly	Drug	Code	1	Molly is a <a href="http://en.wikipedia.org/wiki/MDMA">type of Ectasy</a>.	http://en.wikipedia.org/wiki/MDMA
2	Alice	Drug	Code	2	Alice is <a href="http://en.wikipedia.org/wiki/Alice_(programming_language)">a programming language.</a>	http://en.wikipedia.org/wiki/Alice_(programming_language)
3	PHP	Drug	Code	2	PHP is <a href="http://en.wikipedia.org/wiki/Php">a popular Web programming language</a>, not to be confused with PCP, a hallucinogenic drug.	http://en.wikipedia.org/wiki/Php
4	Robo	Drug	Code	1	Robo is <a href="http://www.urbandictionary.com/define.php?term=robo">slang for dextromethorphan</a>, a hallucinogen that is the active ingredient of many cough suppressants, including Robitussin.	http://www.urbandictionary.com/define.php?term=robo
5	Bliss	Drug	Code	2	BLISS is <a href="http://en.wikipedia.org/wiki/BLISS_(programming_language)">a programming language</a>, although it's also a <a href="http://tardis.wikia.com/wiki/Bliss_(drug)">ficitonal drug</a> in Dr. Who.	http://en.wikipedia.org/wiki/BLISS_(programming_language)
6	Pane	Drug	Code	1	Pane is <a href="http://www.noslang.com/drugs/dictionary/p/">a slang for LSD</a>.	http://www.noslang.com/drugs/dictionary/p/
7	Elixir	Drug	Code	2	Elixir is <a href="http://en.wikipedia.org/wiki/Elixir_(programming_language)">a programming language</a> released in 2012.	http://en.wikipedia.org/wiki/Elixir_(programming_language)
8	DXM	Drug	Code	1	DXM is short for <a href="http://en.wikipedia.org/wiki/Dextromethorphan">Dextromethorphan</a>, a cough suppressant that is used recreationally as a hallucinogen.	http://en.wikipedia.org/wiki/Dextromethorphan
9	Little b	Drug	Code	2	Little b is <a href="http://en.wikipedia.org/wiki/Little_b">a programming language</a> designed for biological research.	http://en.wikipedia.org/wiki/Little_b
10	Brainfuck	Drug	Code	2	Brainfuck is <a href="http://en.wikipedia.org/wiki/Brainfuck_(programming_language)">an "esoteric programming language,"</a> a language designed for amusement or theoretical interest but of little practical use.	http://en.wikipedia.org/wiki/Brainfuck_(programming_language)
11	MDMA	Drug	Code	1	MDMA is the chemical name for <a href="http://en.wikipedia.org/wiki/MDMA">ecstasy</a>.	http://en.wikipedia.org/wiki/MDMA
12	Microdot	Drug	Code	1	Microdot is <a href="http://en.wikipedia.org/wiki/Lysergic_acid_diethylamide">slang</a> for a small tablet of LSD.	http://en.wikipedia.org/wiki/Lysergic_acid_diethylamide
13	Bigwig	Drug	Code	2	Bigwig is <a herf="http://en.wikipedia.org/wiki/Bigwig_(programming_language)">a programming language</a> for Web applications.	http://en.wikipedia.org/wiki/Bigwig_(programming_language)
14	Magik	Drug	Code	2	Magik is <a href="http://en.wikipedia.org/wiki/Magik_(programming_language)">a programming language</a> invented in 1989.	http://en.wikipedia.org/wiki/Magik_(programming_language)
15	Emsel	Drug	Code	1	Emsel is <a href="http://www.noslang.com/drugs/dictionary/e/">slang</a> for morphine.	http://www.noslang.com/drugs/dictionary/e/
16	Triple C	Drug	Code	1	Triple C is <a href="http://en.wikipedia.org/wiki/Coricidin#Recreational_use">slang</a> for Coricidin Cough & Cold, which is used recreationally in high doses to induce a trippy feeling.	http://en.wikipedia.org/wiki/Coricidin#Recreational_use
17	Groovy	Drug	Code	2	Groovy is <a href="http://en.wikipedia.org/wiki/Groovy_(programming_language)">a programming language</a> invented in 2003.	http://en.wikipedia.org/wiki/Groovy_(programming_language)
18	Ruby on Rails	Drug	Code	2	Ruby on Rails is <a href="http://en.wikipedia.org/wiki/Ruby_on_rails">a popular Web application framework</a>.	http://en.wikipedia.org/wiki/Ruby_on_rails
19	Scala	Drug	Code	2	Scala is <a href="http://en.wikipedia.org/wiki/Scala_(programming_language)">a programming language</a> invented in 2003.	http://en.wikipedia.org/wiki/Scala_(programming_language)
20	Mesc	Drug	Code	1	Mesc, short for "Mescaline," is the active ingredient in <a href="http://www.getsmartaboutdrugs.com/drugs/peyote_and_mescaline.html?vOverview">peyote</a>, a cactus that causes hallucinations.	http://www.getsmartaboutdrugs.com/drugs/peyote_and_mescaline.html?vOverview
21	Adenine	Drug	Code	2	Adenine is <a href="http://en.wikipedia.org/wiki/Adenine_(programming_language)">a programming language</a> named after a component of DNA.	http://en.wikipedia.org/wiki/Adenine_(programming_language)
22	Whitespace	Drug	Code	2	Whitespace is <a href="http://en.wikipedia.org/wiki/Whitespace_(programming_language)">an esoteric programming language</a> that depends entirely on "whitespace" characters, such as spaces and tabs.	http://en.wikipedia.org/wiki/Whitespace_(programming_language)
23	Oxygene	Drug	Code	2	Oxygene is <a href="http://en.wikipedia.org/wiki/Oxygene_(programming_language)">a programming language</a> released in 2011.	http://en.wikipedia.org/wiki/Oxygene_(programming_language)
24	Grass	Drug	Code	1,2	This one's a freebie. Grass is a slang for marijuana. GRASS is <a href="http://en.wikipedia.org/wiki/GRASS_(programming_language)">an old programming language</a> for 2D animations.	http://en.wikipedia.org/wiki/GRASS_(programming_language)
25	Euphoria	Drug	Code	2	Euphoria is <a href="http://en.wikipedia.org/wiki/Euphoria_(programming_language)#History">a programming language</a> invented in 1993.	http://en.wikipedia.org/wiki/Euphoria_(programming_language)#History